id,name,genre,keywords,overview,cast,feature,poster,backdrop,rating,year_aired
100088,The Last of Us,Drama,people smuggling post-apocalyptic future infection survival epidemic based on video game,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",Pedro Pascal Bella Ramsey,drama pedro pascal bella ramsey people smuggling postapocalyptic future infection survival epidemic based on video game twenty years after modern civilization has been destroyed joel a hardened survivor is hired to smuggle ellie a 14yearold girl out of an oppressive quarantine zone what starts as a small job soon becomes a brutal heartbreaking journey as they both must traverse the united states and depend on each other for survival,https://image.tmdb.org/t/p/w500/uKvVjHNqB5VmOrdxqAt2F7J78ED.jpg,https://image.tmdb.org/t/p/w500/uDgy6hyPd82kOHh6I95FLtLnj6p.jpg,4.4,2023.0
82856,The Mandalorian,Sci-Fi & Fantasy Action & Adventure Drama,bounty hunter space western space opera space exploration star wars,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",Pedro Pascal Katee Sackhoff,scifi  fantasy action  adventure drama pedro pascal katee sackhoff bounty hunter space western space opera space exploration star wars after the fall of the galactic empire lawlessness has spread throughout the galaxy a lone gunfighter makes his way through the outer reaches earning his keep as a bounty hunter,https://image.tmdb.org/t/p/w500/eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg,https://image.tmdb.org/t/p/w500/6Lw54zxm6BAEKJeGlabyzzR5Juu.jpg,4.25,2019.0
1416,Grey's Anatomy,Drama,"seattle, usa trauma workplace hospital doctor medical student surgical interns medical drama",Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Ellen Pompeo Kim Raver Harry Shum Jr. Adelaide Kane Niko Terho,drama ellen pompeo kim raver harry shum jr adelaide kane niko terho seattle usa trauma workplace hospital doctor medical student surgical interns medical drama follows the personal and professional lives of a group of doctors at seattles grey sloan memorial hospital,https://image.tmdb.org/t/p/w500/daSFbrt8QCXV2hSwB0hqYjbj681.jpg,https://image.tmdb.org/t/p/w500/caGVr9Il2gj8bN4ow6qsLm60TxM.jpg,4.15,2005.0
119051,Wednesday,Sci-Fi & Fantasy Mystery Comedy,witch friendship gothic macabre dark fantasy,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.",Jenna Ortega Hunter Doohan Percy Hynes White Emma Myers Christina Ricci,scifi  fantasy mystery comedy jenna ortega hunter doohan percy hynes white emma myers christina ricci witch friendship gothic macabre dark fantasy wednesday addams is sent to nevermore academy a bizarre boarding school where she attempts to master her psychic powers stop a monstrous killing spree of the town citizens and solve the supernatural mystery that affected her family 25 years ago  all while navigating her new relationships,https://image.tmdb.org/t/p/w500/9PFonBhy4cQy7Jz20NpMygczOkv.jpg,https://image.tmdb.org/t/p/w500/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg,4.3,2022.0
153312,Tulsa King,Crime Drama,"fish out of water sicilian mafia tulsa, oklahoma","Just after he is released from prison after 25 years, New York mafia capo Dwight “The General” Manfredi is unceremoniously exiled by his boss to set up shop in Tulsa, Okla. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a “crew” from a group of unlikely characters, to help him establish a new criminal empire in a place that to him might as well be another planet.",Sylvester Stallone Dana Delany Andrea Savage Martin Starr Max Casella,crime drama sylvester stallone dana delany andrea savage martin starr max casella fish out of water sicilian mafia tulsa oklahoma just after he is released from prison after 25 years new york mafia capo dwight the general manfredi is unceremoniously exiled by his boss to set up shop in tulsa okla realizing that his mob family may not have his best interests in mind dwight slowly builds a crew from a group of unlikely characters to help him establish a new criminal empire in a place that to him might as well be another planet,https://image.tmdb.org/t/p/w500/fwTv3RPRAIy0maOMns5eYRRwnDk.jpg,https://image.tmdb.org/t/p/w500/mNHRGO1gFpR2CYZdANe72kcKq7G.jpg,4.3,2022.0
60735,The Flash,Drama Sci-Fi & Fantasy,superhero speed based on comic super power masked superhero supervillain,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",Danielle Panabaker Grant Gustin Kayla Compton Danielle Nicolet Candice Patton,drama scifi  fantasy danielle panabaker grant gustin kayla compton danielle nicolet candice patton superhero speed based on comic super power masked superhero supervillain after a particle accelerator causes a freak storm csi investigator barry allen is struck by lightning and falls into a coma months later he awakens with the power of super speed granting him the ability to move through central city like an unseen guardian angel though initially excited by his newfound powers barry is shocked to discover he is not the only metahuman who was created in the wake of the accelerator explosion  and not everyone is using their new powers for good barry partners with star labs and dedicates his life to protect the innocent for now only a few close friends and associates know that barry is literally the fastest man alive but it wont be long before the world learns what barry allen has becomethe flash,https://image.tmdb.org/t/p/w500/rg8N7x27Ef6PvlIiioLStf9ZaIO.jpg,https://image.tmdb.org/t/p/w500/gFkHcIh7iE5G0oVOgpmY8ONQjhl.jpg,3.9,2014.0
2734,Law & Order: Special Victims Unit,Crime Drama Mystery,sexual abuse detective sex scandal sexual violence domestic abuse domestic violence criminal sex trafficking interrogation district attorney courtroom assistant district attorney sex crime sexual assault sex trade sex slavery sex offender,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",Mariska Hargitay Ice-T Peter Scanavino,crime drama mystery mariska hargitay icet peter scanavino sexual abuse detective sex scandal sexual violence domestic abuse domestic violence criminal sex trafficking interrogation district attorney courtroom assistant district attorney sex crime sexual assault sex trade sex slavery sex offender in the criminal justice system sexuallybased offenses are considered especially heinous in new york city the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the special victims unit these are their stories,https://image.tmdb.org/t/p/w500/ywBt4WKADdMVgxTR1rS2uFwMYTH.jpg,https://image.tmdb.org/t/p/w500/9xxLWtnFxkpJ2h1uthpvCRK6vta.jpg,4.0,1999.0
211240,The Swarm,Drama Sci-Fi & Fantasy Mystery,ocean marine biologist ice melting scientist ecology oceanic expedition ecological footprint ecological disaster,"Mysterious events are piling up in the oceans around the world: whales destroy boats, deep-sea crabs attack beaches, mussels paralyze container ships. A previously unknown ice worm destabilizes continental slopes in the oceans and triggers tsunamis. A deadly pathogen is spreading from the coasts in drinking water. More and more people in the world are in mortal danger. On the feverish search for the causes of the mysterious phenomena, a small group of international scientists comes together and the previously unthinkable finally becomes a certainty. A previously unknown species exists in the sea and this swarm intelligence is attacking mankind. But hardly anyone believes the researchers. And so the group dares to go on a life-threatening mission on their own. The traces lead them with their research ship into the eternal ice of the Arctic Ocean. An ecological thriller based on the international bestselling novel by Frank Schätzing. The most expensive German TV production of all time.",Rosabell Laurenti Sellers Krista Kosonen Cécile de France Leonie Benesch Oliver Masucci,drama scifi  fantasy mystery rosabell laurenti sellers krista kosonen cécile de france leonie benesch oliver masucci ocean marine biologist ice melting scientist ecology oceanic expedition ecological footprint ecological disaster mysterious events are piling up in the oceans around the world whales destroy boats deepsea crabs attack beaches mussels paralyze container ships a previously unknown ice worm destabilizes continental slopes in the oceans and triggers tsunamis a deadly pathogen is spreading from the coasts in drinking water more and more people in the world are in mortal danger on the feverish search for the causes of the mysterious phenomena a small group of international scientists comes together and the previously unthinkable finally becomes a certainty a previously unknown species exists in the sea and this swarm intelligence is attacking mankind but hardly anyone believes the researchers and so the group dares to go on a lifethreatening mission on their own the traces lead them with their research ship into the eternal ice of the arctic ocean an ecological thriller based on the international bestselling novel by frank schätzing the most expensive german tv production of all time,https://image.tmdb.org/t/p/w500/lczRt1GAGOzrEdL5E3BO81zrtFi.jpg,https://image.tmdb.org/t/p/w500/jXjXhryNh8f770U4pMa5dRCfVF4.jpg,4.0,2023.0
73586,Yellowstone,Western Drama,ranch family drama cattle ranch neo-western trend drama,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",Cole Hauser Kelly Reilly Kevin Costner Kelsey Asbille Wes Bentley,western drama cole hauser kelly reilly kevin costner kelsey asbille wes bentley ranch family drama cattle ranch neowestern trend drama follow the violent world of the dutton family who controls the largest contiguous ranch in the united states led by their patriarch john dutton the family defends their property against constant attack by land developers an indian reservation and americas first national park,https://image.tmdb.org/t/p/w500/peNC0eyc3TQJa6x4TdKcBPNP4t0.jpg,https://image.tmdb.org/t/p/w500/2Erj4Oav9EHAtqLI354VM7ULDqu.jpg,4.05,2018.0
1402,The Walking Dead,Action & Adventure Drama Sci-Fi & Fantasy,post-apocalyptic future gore undead based on comic horror survival zombie,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,Norman Reedus Lauren Cohan Jeffrey Dean Morgan Christian Serratos Melissa McBride,action  adventure drama scifi  fantasy norman reedus lauren cohan jeffrey dean morgan christian serratos melissa mcbride postapocalyptic future gore undead based on comic horror survival zombie sheriffs deputy rick grimes awakens from a coma to find a postapocalyptic world dominated by flesheating zombies he sets out to find his family and encounters many other survivors along the way,https://image.tmdb.org/t/p/w500/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,https://image.tmdb.org/t/p/w500/wvdWb5kTQipdMDqCclC6Y3zr4j3.jpg,4.05,2010.0
